user_id,vip_login
569342750,captainpuffy
569342750,punz
72550899,amandaxvida
72550899,bigjon
72550899,blairmc44
72550899,crickeymikey
72550899,evikka
72550899,exilon___
72550899,hihicaptain
72550899,itzyaboiburi
72550899,jhnnycrwsh
72550899,littlenicky1
72550899,mepparn
72550899,my_trolling_account
72550899,patrok
72550899,sam_v89
72550899,sswphoenix
72550899,sweetpea1217
72550899,twitchmusicid
88946548,lyric
88946548,pokelawls
88946548,tennp0
254489093,gabrielucas20
254489093,guiilenda
254489093,nahzinhaa
254489093,stealthz_k1ller_vapo
254489093,warz1n
119506529,fillesces
119506529,varvalian
77415295,crcornn
77415295,dmf_kyochan
77415295,iam_xq
77415295,sasatikk
77415295,vuelokun2
107305687,fuslie
107305687,saiiren
485855940,daikai4104
485855940,eggroland
485855940,kaiwing1027
485855940,kongyue0720
485855940,liang_0714
485855940,mapletom
485855940,riven696
485855940,unified168108
485855940,yuwanxd
485855940,zod0416
38594688,heresyaboyjason
106013742,adeptabyss
106013742,arcey_bot
106013742,arctura_alpha
106013742,artesianbuilds
106013742,bond_83
106013742,deaf_kage
106013742,decaf_teabagger
106013742,fknheadeyes
106013742,gabrez_
106013742,haylow1221
106013742,jonathanocon
106013742,kiki
106013742,laughing_boi
106013742,onitork
106013742,phlux_za
106013742,realamanda
106013742,ryanwalkinshaw
106013742,techinica
106013742,themrdart
106013742,tobitalks_official
61433001,8packbysummer
61433001,benneths
61433001,camilo
61433001,duhjaip
61433001,ffrizy
61433001,gregthejet
61433001,hawkamania3
61433001,masanz
61433001,metwbs
61433001,nathantheheatfan
61433001,nolanroseborough_
61433001,ovophantuums
61433001,splashedition
61433001,tacticz__
61433001,turkdeer_
38746172,apollorook
38746172,bratom
38746172,btwieatass
38746172,dantheman0700
38746172,dentonio
38746172,dohton
38746172,gachiguru
38746172,grannynonny
38746172,jayhilaneh
38746172,kaiserbowl
38746172,musty_meats
38746172,taykum64
38746172,tirrinwow
38746172,xshadowturkeyx
38746172,yeah_crusade
431882702,ceddygotbandz
431882702,drizzy
431882702,grizzleyworldrpyt
