user_id,num_of_chatters
190835892,17059
569342750,24785
124425501,12033
72550899,14363
88946548,14094
254489093,10004
156037856,7025
146549780,7333
119506529,7793
77415295,8015
107305687,9247
485855940,7200
30104304,7818
38594688,6590
106013742,8050
61433001,6207
490592527,5000
38746172,6536
431882702,4626
73779954,3897
54739364,3218
134586700,4466
189290002,3792
32053915,2682
26469355,4357
22253819,5353
29578325,2700
37522866,4706
268314886,3138
38881685,3876
29722828,4273
712534655,33
32402794,2761
188890121,4457
68240113,398
7010591,3305
152596920,2791
86131599,3086
181077473,4214
45302947,2883
57317154,3068
72480716,2910
116885541,2974
29795919,3050
46431370,2418
410965603,3173
14408894,2717
11897156,3306
57025612,2700
38779717,481
87791915,3311
135052907,3068
44574567,2615
101240144,1968
21588571,1867
59635827,2796
54121470,2508
