id,name,followers,createdAt,totalViewCount,description,language,game_name
190835892,LCK_Korea,967114,40:09.6,295015198,LCK 트위치 공식 중계 채널입니다. 더 많은 정보는 LCK 소셜 미디어에서 확인하세요. ,ko,League of Legends
124425501,LCK,1199562,35:22.1,120523156,"For more information, schedules and stats head to the LCK's social media.",en,League of Legends
71190292,Trainwreckstv,1490807,21:57.6,57298823,squadW always,en,Rust
498599190,carry_game,56570,06:12.4,2867606,《亞洲電子競技公開賽》為全新創立的社群賽事，欲打造成為全台最大的業餘賽事，旨在跨越藩籬，打破玩家之間的距離，激發出更多元的組合與競爭力，跨國界廣納各方好手齊聚同台。,zh,League of Legends
65171890,Rainbow6,2053909,51:56.0,89537677,"Tom Clancy’s Rainbow Six Siege’s Esports official streams for its main international competitions and the 4 regional leagues: European, North American, Latin American and Asia-Pacific.",en,Tom Clancy's Rainbow Six Siege
196327334,Esports_Alliance,140032,45:15.8,14510547,An Enthusiastic Esports Organizer Company,th,PUBG: BATTLEGROUNDS
156037856,Fextralife,600816,21:11.5,1557180560,"Fextralife is a gaming community & game news source fueled by a team of dedicated gamers! We play Action, Adventure and RPGs, some Survival & FPS too!. Elden Ring, Baldur's Gate 3 hype! Check out our 200+ Wikis, reviews on Youtube & more! This week STREAMS: Dark Alliance, Scarlet Nexus, ELDEN RING!",en,New World
146549780,울프,351018,21:14.3,20315915,T1의 인플루언서 이자 방송인으로서 활동하고있는 울프 이재완입니다.방송시간 : LCK 시즌 - 1라운드 수목금토일 4시 30분 / 2라운드 목금토일 4시 30분     비즈니스 및 문의메일 : Wolf@t1.gg,ko,League of Legends
544210045,valorant_jpn,114706,51:22.6,9841155,VALORANT（ヴァロラント）公式チャンネル。『VALORANT』は、5対5で対戦する競技性の高いタクティカルシューターです。基本プレイ無料、世界中のより多くのプレイヤーが楽しめるよう幅広いスペックのPCに対応しています。,ja,VALORANT
14293484,Voyboy,1359314,47:38.3,40393926,,en,Rust
427632467,LVNDMARK,612089,39:22.5,91750990,感謝します。,en,Escape from Tarkov
50988750,stylishnoob4,600609,33:31.5,462799240,I'm a variety streamer(kind of). Been streaming since 2012(ish). I'm 100% better than you at shooting and puzzle games. I tweet when I go live @summit1g on Twitter.,ja,Apex Legends
26490481,summit1g,5949686,12:58.9,116521408,Hi there! Come join the stream and live chat with me! I am a hardcore streamer that LOVES every part about it!. Go check out my schedule to see when I am live!,en,Final Fantasy XIV Online
54706574,JoshOG,1713363,52:13.9,77031801,Читайте всю информацию под плеером. ,en,New World
40298003,HoneyMad,614904,47:08.1,47343295,楽しんでゲームしていきます,ru,New World
10985633,SPYGEA,386772,04:45.5,42762015,On se tape des immenses barres.,ja,Apex Legends
50597026,Ponce,566269,31:54.3,27596135,,fr,TrackMania
188890121,Dmitry_Lixxx,600669,07:49.2,1161225,"Welcome! My name is Chris, I'm a singer/songwriter, Husband & Father of three from Australia! This channel is all about music, having a good laugh &  just having fun. Please chat with me, my community, request a song or two and I hope you enjoy your stay. Chris",ru,Just Chatting
100058833,CMillerMusic,18978,05:03.2,21116742,"Профессиональный комментатор по дисциплине Dota 2, сотрудник студии Ruhub",en,Music
8641037,Adekvat,141906,00:07.9,15618821,I play too much PoE,ru,Dota 2
57317154,Steelmage,95979,34:47.7,53851662,"3x EFT World Champion 2020, Not afraid to jump head first down a stair case, Done some cool stuff for kids",en,Path of Exile
106013742,Pestily,962936,19:04.0,65928433,Method is an Esports organisation dedicated to serving the MMO and RPG communities. We are committed to celebrating their incredible feats by creating world-class entertainment and opportunities to grow through discovery.,en,Escape from Tarkov
121649330,Method,374098,14:30.0,33725688,I'm LS.,en,World of Warcraft
26513896,imls,537940,37:03.5,84017591,"Official Twitch Channel of the League of Legends Pro League (LPL). For more information, schedules and stats head to Lolesports.com. #AllWeFightFor",en,League of Legends
124425627,LPL,700801,55:44.3,58081691,트-하,en,League of Legends
102845970,김도,307711,34:24.8,114395777,"Howdy, welcome to our positive community",ko,Dead by Daylight
30816637,AdmiralBulldog,743572,45:38.3,4674755,やあ,en,Dota 2
206506086,Euriece,183309,16:40.0,480029590,"Beyond The Summit is a broadcasting studio and tournament organizer for a variety of esports titles (including Dota 2, SSBM, CS:GO, & DBFZ). Following and subscribing enables us to continue to create unique content and host amazing events like The Summit. Thank you for your support!",en,Apex Legends
29578325,BeyondTheSummit,1017974,01:48.9,31462026,편안한 아재방송,en,Dota 2
57292293,RATIRL,581498,09:12.5,16069317,"Se cerchi interazione in una live e il brivido delle Pro Wombo Combo la stream di Moon fa per te! Segni Particolari: Iperattivo - Lettore di chat nato - Scatti di Rabbia della durata di 3 secondi - BRO dipendente - Content Creator e Player dei FNATIC!!! Daje tutta, mai mollare! #alwayspapagna",en,League of Legends
102900195,철면수심,192815,20:19.8,13951852,じゃすぱー　21歳　音楽　対戦ゲーム大好き,ko,StarCraft
