user_id,vip_login
71190292,audlonlx
71190292,cooldude1999
71190292,foxborough
71190292,frodo_dabbins
71190292,jessesmfi
71190292,kevinbryansack
71190292,landonorris
71190292,nozav
71190292,the_dent
71190292,turtoise
498599190,guanweiboy
498599190,wulonglolz
498599190,yulihong22
498599190,yuwanxd
498599190,zod0416
65171890,devmarta
65171890,mag6
14293484,kristoferyee
14293484,youllbmarced
427632467,blacklabel89
427632467,drbofa23
427632467,empirejerkyusa
427632467,fpskyle
427632467,igolnick
427632467,imbigdom
427632467,vaelaa
54706574,itzdakotah
54706574,joeball_
54706574,skeletal1
54706574,wootownog
50597026,etoiles
50597026,jussetain
188890121,kamikpro
188890121,patalahinart
188890121,vas9h
8641037,desmana_mochata
8641037,zhenaadekvata
57317154,alkaizerx
57317154,baker
57317154,datmodz
57317154,faderon
57317154,gloriousbeard
57317154,guccipradas
57317154,kluffu
57317154,lordoffries
57317154,manni2
57317154,manwithhat
57317154,prototypezedd
57317154,ruzgatogosu
57317154,sigmar53
57317154,stark4machines
57317154,thepegge
106013742,arctura_alpha
106013742,bond_83
106013742,deaf_kage
106013742,decaf_teabagger
106013742,fknheadeyes
106013742,franfa320
106013742,gabrez_
106013742,greadyblu3
106013742,jonathanocon
106013742,kiki
106013742,phlux_za
106013742,realamanda
106013742,squvll
106013742,techinica
106013742,thoam_
106013742,tobitalks_official
121649330,kuriisu
121649330,loopylolly
121649330,viklund
26513896,bloodloordvlad
26513896,carlmikae1
26513896,nudepenguin69
26513896,thdlock
30816637,b0b3rman
30816637,devonanimation
30816637,dievolksbanane_
30816637,mrkontol
30816637,nonamedpleb
30816637,papaguj
30816637,vadikus007
30816637,vroksnak
30816637,xttron_
206506086,hokuson8
206506086,konnnoochan
206506086,rush______00
29578325,nephsensei
29578325,xyclopz
29578325,zai
57292293,causalthief
57292293,daddysanji
57292293,decaptf
57292293,dont4botpls
57292293,drututt
57292293,ogkaks
57292293,smailfish
57292293,thezoh
57292293,vanrval
48192899,0v0l0ll1ss1m0
48192899,ale_ita_00
48192899,er_pjno
48192899,francescoac
48192899,poggia261
48192899,rotaroor
48192899,vladino91
77415295,cr_rion
77415295,dmf_kyochan
77415295,fps_shaka
174955366,aldolase
174955366,azgai
174955366,babelfr
174955366,bonjour1000
174955366,captainfalcontv
174955366,cocotrak
174955366,endbossveigar
174955366,fabinho7
174955366,fye__
